Step,Training loss,Reward,Reward std,Completion length,Kullback-Leibler divergence 
1,0,0.021,0.051439,105.166672,0
2,0,0.021,0.051439,232.833344,0
3,0,0,0,263.666687,0.000519
4,0,0.068833,0.076479,96.5,0.000627
5,0,0,0,210.5,0.000493
6,0,-0.037833,0.129257,278.833344,0.000479
7,0,0.083333,0.204124,205.333344,0.000566
8,0,-0.006,0.08023,237.166672,0.00051
9,0,-0.060833,0.149011,162.333344,0.00083
10,0,-0.0505,0.131693,225.166672,0.000593
11,0,-0.036833,0.192641,337.333344,0.000408
12,0,0.0205,0.050215,343.333344,0.000544
13,0,0.021,0.051439,223,0.000401
14,0,0,0,163.666672,0.000446
15,0,0.020833,0.051031,363.333344,0.000637
16,0,0,0,329.333344,0.000436
17,0,0.041333,0.064046,134.166672,0.000595
18,0,0.033,0.080833,312.166687,0.000618
19,0,0.021,0.051439,399.166687,0.000533
20,0,0.3825,0.93693,248.5,0.000697
21,0,0.475167,0.996825,212.5,0.000358
22,0,-0.331667,0.515408,354.333344,0.000592
23,0,-0.007833,0.019188,234.333344,0.000477
24,0,0.041667,0.06455,430.5,0.000394
25,0,0.374167,1.077317,207.333344,0.000429
26,0,-0.0025,0.006124,294.666687,0.000562
27,0,-0.023667,0.116644,236.333344,0.00046
28,0,0.006167,0.072747,213.666672,0.000565
29,0,0.478333,0.988421,246.833344,0.000371
30,0,0.289,1.05074,351.5,0.000407
31,0,0.116667,0.195212,136.333344,0.00056
32,0,0.007667,0.120974,173.333344,0.000527
33,0,-0.137167,0.469806,270.666687,0.000823
34,0,0.021,0.051439,152.833344,0.000613
35,0,0,0,151.833344,0.000556
36,0,0.146167,0.18395,320.333344,0.00054
37,0,-0.039167,0.095938,199,0.000431
38,0,-0.005333,0.221805,227.833344,0.000539
39,0,0.015667,0.131284,185.166672,0.000642
40,0,0.045667,0.07138,209.666672,0.000643
41,0,0.410833,1.039501,137.666672,0.000704
42,0,-0.082667,0.193798,262.333344,0.000672
43,0,0.117833,0.233614,183.833344,0.000602
44,0,0.418167,1.024295,323.5,0.000599
45,0,0,0,313.5,0.000499
46,0,0.022833,0.077158,91.166672,0.000604
47,0,0.0935,0.086523,138,0.000518
48,0,0.021,0.051439,297.666687,0.000383
49,0,0.03,0.051753,270.5,0.000343
50,0,0.3755,0.798718,271.166687,0.000345
